owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color
695,41-50,m,6,63,Labrador Retriever,NA,NA,NA,I,2012,w,braun
4050,41-50,w,11,111,Bichon frisé,NA,NA,NA,K,2012,m,weiss
4261,71-80,w,7,71,Labrador Retriever,NA,NA,NA,I,2012,w,beige
6071,61-70,m,3,34,Pointer,NA,NA,NA,I,2012,w,schwarz/braun
6617,61-70,w,12,122,Grosspudel,NA,NA,NA,I,2012,w,weiss
19141,61-70,m,4,42,Bolonka Zwetna,NA,NA,NA,K,2012,m,schwarz
20762,51-60,m,4,42,Zwergpudel,NA,NA,NA,K,2012,m,apricot
21270,41-50,m,8,81,Grosspudel,NA,NA,NA,I,2012,m,braun
21393,51-60,m,2,24,Französische Bulldogge,NA,NA,NA,K,2012,m,blue
23590,61-70,w,9,92,Pinscher,NA,Yorkshire Terrier,NA,K,2012,w,schwarz
23889,61-70,w,4,42,Pudel,NA,NA,NA,K,2012,m,braun
63704,71-80,m,10,101,Dachshund,NA,NA,NA,K,2012,w,saufarben
66757,51-60,w,1,14,Mischling gross,NA,NA,NA,I,2012,m,braun/beige
66913,51-60,m,8,83,Hovawart,NA,NA,NA,I,2012,w,schwarz
67018,71-80,w,6,61,Labrador Retriever,NA,NA,NA,I,2012,m,beige
67308,41-50,w,11,111,Shih Tzu,NA,NA,NA,K,2012,w,braun/weiss
70176,41-50,w,4,44,Mischling gross,NA,NA,NA,I,2012,w,weiss
70793,71-80,m,11,115,Soft Coated Wheaten Terrier,NA,NA,NA,I,2012,m,beige
71024,61-70,w,7,74,Lagotto Romagnolo,NA,NA,NA,I,2012,w,bianco-aranico
71670,61-70,m,7,71,Deutscher Schäfer,NA,NA,NA,I,2012,w,braun
71757,41-50,m,4,42,Bouvier,NA,NA,NA,I,2012,m,gestromt
71893,41-50,w,6,63,Border Collie,NA,NA,NA,I,2012,w,tricolor
80407,71-80,m,7,72,Labrador Retriever,NA,NA,NA,I,2012,w,schwarz
80410,51-60,w,7,73,Labrador Retriever,NA,NA,NA,I,2012,w,schwarz
80412,51-60,m,2,21,Labrador Retriever,NA,NA,NA,I,2012,m,schwarz
80604,71-80,m,7,72,Labrador Retriever,NA,NA,NA,I,2012,w,schwarz
80659,51-60,w,3,33,English Springer Spaniel,NA,NA,NA,I,2012,m,schwarz/weiss
80713,61-70,m,11,111,Dackel,NA,NA,NA,K,2012,w,rot
80755,61-70,w,9,91,West Highland White Terrier,NA,NA,NA,K,2012,w,weiss
80767,61-70,w,9,92,Beagle,NA,NA,NA,K,2012,m,tricolor
80840,51-60,w,10,101,Dalmatiner,Mischling,NA,NA,I,2012,m,schwarz/weiss
80957,51-60,w,7,74,Riesenschnauzer,NA,NA,NA,I,2012,w,schwarz
80978,61-70,w,9,92,Mischling klein,NA,NA,NA,K,2012,m,tricolor
81218,71-80,w,9,91,Cairn Terrier,NA,NA,NA,K,2012,m,rot/braun
81391,81-90,w,7,71,Lagotto Romagnolo,NA,NA,NA,I,2012,w,braun
81430,61-70,w,10,102,Bolonka Zwetna,NA,NA,NA,K,2012,w,black/tan
81457,41-50,w,7,73,Beagle,NA,NA,NA,K,2012,w,tricolor
81512,81-90,w,7,71,Cairn Terrier,NA,NA,NA,K,2012,w,schwarz/braun
81528,61-70,w,2,21,Schweizer Sennenhund,NA,NA,NA,I,2012,w,tricolor
81548,41-50,w,3,31,Labrador Retriever,NA,Flat Coated Retriever,NA,I,2012,m,schwarz
81631,51-60,w,12,121,Berner Sennenhund,NA,Labrador Retriever,NA,I,2012,m,schwarz
81638,41-50,w,10,101,Labrador Retriever,Mischling,NA,NA,I,2012,m,beige
81726,61-70,w,11,111,Dachshund,Mischling,NA,NA,K,2012,m,schwarz/braun
81738,81-90,w,11,115,Whippet,NA,NA,NA,I,2012,w,rot/braun
81892,51-60,m,11,119,American Bulldog,NA,NA,NA,I,2012,m,gestromt
82301,71-80,m,7,71,Irish Soft Coated Wheaten Terrier,NA,NA,NA,I,2012,m,weizen
82509,51-60,w,7,72,Boxer,NA,Labrador Retriever,NA,I,2012,m,schwarz/weiss
82558,51-60,w,7,71,Labrador Retriever,NA,NA,NA,I,2012,m,beige
82671,51-60,w,7,74,Continental Bulldog,NA,NA,NA,I,2012,w,gestromt
82688,61-70,w,8,82,Labrador Retriever,NA,Deutscher Schäfer,NA,I,2012,w,schwarz
82739,51-60,w,7,74,Cavalier King Charles Spaniel,NA,NA,NA,K,2012,m,black/tan
82795,41-50,w,11,119,Deutsche Dogge,NA,NA,NA,I,2012,m,gelb
82842,51-60,w,7,71,Dackel,NA,NA,NA,K,2012,m,braun
83237,51-60,w,9,92,Afghane,NA,NA,NA,I,2012,m,red-brindle
83237,51-60,w,9,92,Chinese Crested,NA,NA,NA,K,2012,m,apricot
83248,41-50,w,3,33,Jack Russel Terrier,Mischling,NA,NA,K,2012,w,tricolor
83256,41-50,w,10,101,Labrador Retriever,NA,NA,NA,I,2012,w,schwarz
83369,51-60,w,8,82,Terrier,NA,NA,NA,K,2012,w,schwarz
83380,51-60,m,9,92,Flat Coated Retriever,NA,NA,NA,I,2012,m,braun
