owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color
574,61-70,w,2,23,Mischling gross,NA,NA,NA,I,2013,w,schwarz
4239,61-70,w,10,102,Pinscher,Mischling,NA,NA,K,2013,w,braun/schwarz
4726,51-60,m,5,52,Golden Retriever,NA,NA,NA,I,2013,w,creme
4786,41-50,m,3,34,Weimaraner,NA,NA,NA,I,2013,w,silber
4801,51-60,m,4,42,Tibetan Spaniel,NA,NA,NA,K,2013,w,schwarz/braun
4850,51-60,m,4,42,Chihuahua,NA,NA,NA,K,2013,w,beige
5406,51-60,m,6,61,Französische Bulldogge,NA,NA,NA,K,2013,m,weiss/schwarz
15639,51-60,m,11,119,Malteser,NA,NA,NA,K,2013,w,weiss
21828,71-80,w,7,74,Spitz,Mischling,NA,NA,K,2013,m,weiss/beige
22950,51-60,w,11,119,Mittelpudel,NA,NA,NA,K,2013,w,schwarz
23493,61-70,m,11,111,Boxer,NA,NA,NA,I,2013,m,braun/weiss
60348,71-80,m,11,111,Mischling klein,NA,NA,NA,K,2013,w,schwarz/weiss
60402,61-70,w,11,111,Mischling klein,NA,NA,NA,K,2013,m,dunkelbraun
65981,51-60,w,6,63,Labrador Retriever,NA,NA,NA,I,2013,m,gelb
66144,51-60,m,5,51,Deutsche Dogge,NA,NA,NA,I,2013,w,gelb
67001,51-60,w,3,34,Mops,NA,NA,NA,K,2013,m,beige
72580,41-50,m,10,102,Prager Rattler,NA,NA,NA,K,2013,m,hellbraun
72580,41-50,m,10,102,Prager Rattler,NA,NA,NA,K,2013,m,braun
80571,51-60,m,3,31,Mischling klein,NA,NA,NA,K,2013,w,schwarz/braun
80645,81-90,w,2,21,Berner Sennenhund,NA,NA,NA,I,2013,w,tricolor
80835,71-80,w,7,73,Malteser,NA,NA,NA,K,2013,w,weiss
80838,71-80,w,7,71,Toypudel,NA,NA,NA,K,2013,w,schwarz
81004,61-70,w,9,92,Scottish Terrier,NA,NA,NA,K,2013,m,schwarz
81097,61-70,w,7,72,Golden Retriever,NA,NA,NA,I,2013,w,golden
81153,51-60,w,8,83,Airedale Terrier,NA,NA,NA,I,2013,w,black/tan
81183,51-60,m,9,92,Yorkshire Terrier,NA,NA,NA,K,2013,m,steelblue/tan
81463,51-60,w,10,102,Mops,NA,NA,NA,K,2013,w,beige
81531,71-80,w,3,34,Afghane,NA,NA,NA,I,2013,w,silber
81614,61-70,m,4,41,Dachshund,NA,NA,NA,K,2013,m,schwarz/rot
81615,61-70,m,10,101,Golden Retriever,NA,Labrador Retriever,NA,I,2013,m,blondfarben
81650,71-80,m,10,101,Deutsche Dogge,NA,NA,NA,I,2013,m,schwarz/weiss
81692,71-80,m,8,83,Yorkshire Terrier,NA,NA,NA,K,2013,m,schwarz/beige
81789,41-50,m,11,111,Mischling klein,NA,NA,NA,K,2013,m,schwarz/weiss
81810,61-70,m,11,111,Kleiner Münsterländer,NA,NA,NA,I,2013,w,weiss/braun
81914,61-70,m,4,44,Deutscher Schäfer,NA,NA,NA,I,2013,m,grau
81998,71-80,w,10,101,Bolonka Zwetna,NA,NA,NA,K,2013,w,braun/schwarz/weiss
82002,41-50,w,3,31,Malteser,NA,NA,NA,K,2013,m,weiss
82032,61-70,w,10,102,Labradoodle,NA,NA,NA,I,2013,w,weiss/braun
82147,61-70,w,2,23,Jack Russel Terrier,NA,NA,NA,K,2013,w,tricolor
82275,51-60,w,7,73,Appenzeller Sennenhund,Mischling,NA,NA,I,2013,w,tricolor
82626,61-70,w,7,71,Border Terrier,NA,NA,NA,K,2013,m,red grizzle
82676,71-80,w,7,72,Französische Bulldogge,NA,NA,NA,K,2013,w,schwarz/beige
82703,81-90,w,7,74,Pudel,NA,NA,NA,K,2013,m,schwarz
82934,51-60,m,2,23,Samojede,NA,NA,NA,I,2013,w,weiss
82951,61-70,w,7,72,Golden Retriever,NA,NA,NA,I,2013,w,golden
82993,61-70,w,11,115,Eurasier,NA,NA,NA,I,2013,w,rot/grau
83065,51-60,w,11,115,Mischling gross,NA,NA,NA,I,2013,m,schwarz
83108,51-60,w,10,101,Mischling gross,NA,NA,NA,I,2013,w,rehbraun
83126,61-70,w,8,83,Foo Dog gross,NA,NA,NA,I,2013,m,beige/schwarz
83141,61-70,w,2,23,Boxer,NA,NA,NA,I,2013,w,gestromt
83168,51-60,w,3,33,Mittelschnauzer,NA,NA,NA,I,2013,w,pfeffer/salz
83171,51-60,w,7,73,Zwergpinscher,NA,NA,NA,K,2013,m,rehbraun
83390,61-70,m,11,119,Basenji,NA,NA,NA,K,2013,w,brindle
83474,51-60,w,2,24,Mischling klein,NA,NA,NA,K,2013,w,beige
83626,61-70,w,11,111,Mischling klein,NA,NA,NA,K,2013,m,tricolor
83776,61-70,w,7,73,Golden Retriever,NA,NA,NA,I,2013,m,golden
83826,71-80,m,12,122,Chihuahua,NA,NA,NA,K,2013,m,braun
83916,51-60,w,3,33,Continental Bulldog,NA,NA,NA,I,2013,w,hellbraun/weiss
83998,81-90,w,3,31,Malteser,NA,NA,NA,K,2013,w,weiss
84468,51-60,w,7,71,Mops,NA,NA,NA,K,2013,w,beige
84468,51-60,w,7,71,Mops,NA,NA,NA,K,2013,m,beige
84677,51-60,w,12,123,Dachsbracke,NA,Bergamasker,NA,I,2013,w,schwarz/braun
84815,61-70,w,2,24,Tibet Terrier,NA,NA,NA,K,2013,w,schwarz/weiss
84894,61-70,m,10,101,Berner Sennenhund,NA,NA,NA,I,2013,w,tricolor
84958,41-50,w,3,33,Hovawart,NA,NA,NA,I,2013,w,schwarz Marken
