owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color
126,61-70,m,9,92,Welsh Terrier,NA,NA,NA,K,2011,w,schwarz/braun
1177,51-60,m,10,102,Shih Tzu,NA,NA,NA,K,2011,m,schwarz/weiss
4281,61-70,w,9,91,Chihuahua,NA,NA,NA,K,2011,w,hellbraun
4880,51-60,m,5,52,Leonberger,NA,NA,NA,I,2011,m,goldbraun
5227,71-80,m,10,101,Border Terrier,NA,NA,NA,K,2011,w,tricolor
6321,51-60,w,8,81,Mops,NA,NA,NA,K,2011,m,beige
6469,41-50,m,11,111,Mops,NA,NA,NA,K,2011,m,beige
6640,51-60,m,8,82,Englische Bulldogge,NA,NA,NA,I,2011,m,braun/weiss
18020,51-60,m,5,52,Labrador Retriever,NA,NA,NA,I,2011,w,schwarz
21002,61-70,m,7,71,Mischling gross,NA,NA,NA,I,2011,m,creme
23054,61-70,w,10,101,Cairn Terrier,NA,NA,NA,K,2011,m,rot/beige
23408,31-40,m,12,122,Yorkshire Terrier,NA,NA,NA,K,2011,w,black/tan
65681,51-60,m,2,21,Italienisches Windspiel,NA,NA,NA,K,2011,m,blau
66515,61-70,m,8,83,Labrador Retriever,NA,NA,NA,I,2011,w,braun
80021,41-50,w,11,111,Labrador Retriever,NA,NA,NA,I,2011,w,schwarz
80068,51-60,m,9,91,Bayerischer Gebirgsschweisshund,NA,NA,NA,I,2011,m,hirschrot mit Maske
80223,41-50,m,11,111,Dachshund,Mischling,NA,NA,K,2011,w,hellbraun
80509,71-80,w,2,24,Boxer,NA,NA,NA,I,2011,w,gelb
80513,51-60,w,3,33,Parson Jack Russell Terrier,NA,NA,NA,K,2011,w,tricolor
80525,71-80,m,7,72,Zwergpudel,NA,NA,NA,K,2011,m,schwarz
80538,61-70,w,2,24,English Cocker Spaniel,NA,NA,NA,K,2011,m,schwarz/weiss
80602,71-80,w,12,122,Bolonka Zwetna,NA,NA,NA,K,2011,m,weiss
80753,71-80,m,9,92,Mischling klein,NA,NA,NA,K,2011,w,braun
80761,71-80,m,11,115,Appenzeller Sennenhund,NA,NA,NA,I,2011,w,tricolor
80888,61-70,w,7,72,Deutscher Boxer,NA,NA,NA,I,2011,w,hirschrot
80897,41-50,w,7,71,Lagotto Romagnolo,NA,NA,NA,I,2011,w,braun
80940,61-70,w,7,71,Mischling klein,NA,NA,NA,K,2011,w,schwarz/braun
81042,41-50,w,2,21,Dackel,NA,Foxterrier,NA,K,2011,m,braun/weiss
81054,51-60,w,1,11,Mops,NA,NA,NA,K,2011,m,schwarz
81100,61-70,w,7,73,Mischling klein,NA,NA,NA,K,2011,w,rot/braun
81107,71-80,w,7,74,Deutscher Schäfer,NA,NA,NA,I,2011,m,schwarz/gelb
81183,51-60,m,9,92,Deutscher Schäfer,NA,NA,NA,I,2011,w,schwarz/gelb
81188,51-60,m,10,101,Jack Russel Terrier,NA,NA,NA,K,2011,w,braun/weiss
81248,71-80,m,10,101,Deutscher Schäfer,NA,NA,NA,I,2011,m,schwarz/braun
81352,71-80,w,7,71,Windspiel,NA,NA,NA,I,2011,m,steelblue
81352,71-80,w,7,71,Italienisches Windspiel,NA,NA,NA,K,2011,w,schwarz/weiss
81459,81-90,w,6,61,Cairn Terrier,NA,NA,NA,K,2011,m,braun
81469,61-70,w,6,63,Jack Russel Terrier,NA,NA,NA,K,2011,m,weiss/braun
81514,71-80,m,6,63,Podenco,NA,NA,NA,I,2011,w,rehbraun
81531,71-80,w,3,34,Bolonka Zwetna,NA,NA,NA,K,2011,w,braun/weiss/schwarz
81683,71-80,w,10,101,Chinese Crested Powderpuff,NA,NA,NA,K,2011,m,schwarz/weiss
81702,51-60,w,11,119,Collie,NA,NA,NA,I,2011,w,tricolor
81702,51-60,w,11,119,Collie,NA,NA,NA,I,2011,w,tricolor
82064,61-70,m,3,31,Labrador Retriever,NA,NA,NA,I,2011,m,schwarz
82167,61-70,w,9,92,Pudel,NA,NA,NA,K,2011,w,apricot
82473,51-60,w,1,13,Papillon,NA,NA,NA,K,2011,m,tricolor
82508,61-70,w,8,81,Beagle,NA,NA,NA,K,2011,m,tricolor
82527,71-80,w,2,21,Rauhaar Dackel,NA,NA,NA,K,2011,w,saufarben
82655,61-70,w,7,74,Mischling klein,NA,NA,NA,K,2011,m,schwarz/braun
82668,71-80,w,5,52,Norwich Terrier,NA,NA,NA,K,2011,w,rot
82865,51-60,w,10,102,Yorkshire Terrier,NA,NA,NA,K,2011,w,black/tan
82878,61-70,m,7,71,Zwergschnauzer,NA,NA,NA,K,2011,m,weiss
82925,71-80,m,3,34,Deutscher Schäfer,NA,NA,NA,I,2011,w,grau
82973,71-80,w,7,74,Yorkshire Terrier,NA,NA,NA,K,2011,w,grau/braun
83322,51-60,m,4,44,Chihuahua,NA,NA,NA,K,2011,m,schwarz
