owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color
12409,61-70,m,9,91,Mischling klein,NA,NA,NA,K,2008,w,weiss/schwarz/braun
18805,41-50,w,6,63,Jack Russel Terrier,NA,NA,NA,K,2008,m,tricolor
20268,31-40,w,5,52,Chihuahua,NA,NA,NA,K,2008,m,weiss/grau
66151,51-60,m,11,115,Deutscher Schäfer,NA,NA,NA,I,2008,w,schwarz/braun/weiss
66702,61-70,w,6,61,Zwergpudel,NA,NA,NA,K,2008,w,apricot
71142,51-60,w,7,71,Canaan Dog,NA,NA,NA,I,2008,m,schwarz
80162,51-60,m,12,123,Parson Jack Russell Terrier,NA,NA,NA,K,2008,m,weiss/rot
80162,51-60,m,12,123,Bouvier,NA,NA,NA,I,2008,w,schwarz
80172,61-70,m,9,91,Labrador Retriever,NA,NA,NA,I,2008,m,schwarz
80335,61-70,w,12,122,Irish Setter,NA,Golden Retriever,NA,I,2008,m,braun
80335,61-70,w,12,122,Irish Setter,NA,Golden Retriever,NA,I,2008,m,braun
80382,51-60,w,10,102,Dachshund,NA,NA,NA,K,2008,m,braun
80406,61-70,m,11,111,Labrador Retriever,NA,NA,NA,I,2008,w,schwarz
80416,51-60,w,9,91,Labrador Retriever,NA,NA,NA,I,2008,m,schwarz
80575,81-90,w,4,42,Mischling klein,NA,NA,NA,K,2008,w,weiss/beige
80656,71-80,m,10,101,Pointer,NA,NA,NA,I,2008,w,weiss
80761,71-80,m,11,115,Appenzeller Sennenhund,NA,NA,NA,I,2008,m,tricolor
80881,71-80,w,7,72,Mops,NA,NA,NA,K,2008,w,beige
81042,41-50,w,2,21,Mischling klein,NA,NA,NA,K,2008,w,tricolor
81072,51-60,w,7,71,Mischling klein,NA,NA,NA,K,2008,w,braun/weiss
81159,71-80,m,9,92,Airedale Terrier,NA,NA,NA,I,2008,w,schwarz/beige
81322,71-80,w,6,63,Galgo Español,NA,NA,NA,I,2008,w,gestromt
81325,71-80,w,12,122,Sheltie,NA,NA,NA,K,2008,w,blue/merle
81353,81-90,w,6,63,Rottweiler,Mischling,NA,NA,I,2008,m,schwarz/braun
81399,81-90,w,11,119,Yorkshire Terrier,NA,NA,NA,K,2008,w,silber/braun
81437,71-80,w,7,74,Dackel,Mischling,NA,NA,K,2008,w,braun/weiss
81458,71-80,w,6,63,Berner Sennenhund,NA,NA,NA,I,2008,m,schwarz/braun/weiss
81569,91-100,w,5,51,Mischling klein,NA,NA,NA,K,2008,m,dunkel gestromt
81612,51-60,w,6,63,Border Collie,NA,NA,NA,I,2008,w,schwarz/weiss
81618,61-70,w,2,21,Zwergschnauzer,NA,NA,NA,K,2008,w,schwarz/grau
81681,41-50,w,10,101,Sennenhund,Mischling,NA,NA,I,2008,w,tricolor
81717,71-80,m,12,122,Pekingese,NA,NA,NA,K,2008,w,braun/schwarz
81726,61-70,w,11,111,Jack Russel Terrier,Mischling,NA,NA,K,2008,w,weiss/braun
81768,71-80,m,11,115,Rauhaar Dackel,NA,NA,NA,K,2008,m,rot
81849,51-60,w,11,119,Azawakh,NA,NA,NA,I,2008,w,rot
81918,71-80,w,10,101,Zwergpudel,NA,NA,NA,K,2008,m,apricot
82033,61-70,w,10,102,Pudel,Mischling,NA,NA,K,2008,m,schwarz
82033,61-70,w,10,102,Pudel,Mischling,NA,NA,K,2008,w,schwarz
82063,71-80,w,11,111,Mops,NA,NA,NA,K,2008,m,beige
82300,71-80,w,10,101,Pekingese,NA,NA,NA,K,2008,w,braun/weiss/schwarz
82341,81-90,w,11,115,Yorkshire Terrier,NA,NA,NA,K,2008,m,blue/tan
82450,71-80,w,7,74,Mischling klein,NA,NA,NA,K,2008,w,braun
82452,61-70,w,10,102,Dachshund,NA,NA,NA,K,2008,m,braun
82506,51-60,w,4,44,Havaneser,NA,NA,NA,K,2008,w,braun/weiss
82545,71-80,w,7,71,Zwergschnauzer,NA,NA,NA,K,2008,w,schwarz/weiss
82580,71-80,w,7,71,Lagotto Romagnolo,NA,NA,NA,I,2008,m,beige
82606,71-80,w,7,73,Bergamasker,NA,Labrador Retriever,NA,I,2008,m,grau/schwarz
82622,51-60,w,2,21,Mischling klein,NA,NA,NA,K,2008,w,weiss/braun
82631,51-60,w,9,92,Jack Russel Terrier,Mischling,NA,NA,K,2008,m,weiss/schwarz
