owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color
4155,61-70,w,9,92,Zwergdackel,NA,NA,NA,K,2002,m,schwarz/grau
20483,61-70,m,12,121,Terrier,Mischling,NA,NA,K,2002,m,black/tan
54926,81-90,m,2,21,Jack Russel Terrier,NA,NA,NA,K,2002,m,tricolor
65665,61-70,w,8,82,Mops,NA,NA,NA,K,2002,m,beige
65665,61-70,w,8,82,Mops,NA,NA,NA,K,2002,m,schwarz
65758,51-60,w,7,71,Welsh Springer Spaniel,NA,NA,NA,I,2002,w,rot/weiss
65975,61-70,w,7,74,Labrador Retriever,NA,NA,NA,I,2002,w,braun
71915,71-80,w,1,13,Mischling klein,NA,NA,NA,K,2002,m,grau
80099,71-80,m,12,123,Pinscher,NA,NA,NA,K,2002,m,rot
80553,81-90,w,2,21,Jack Russel Terrier,NA,NA,NA,K,2002,m,weiss/schwarz
80622,61-70,m,6,61,Parson Russell Terrier,NA,NA,NA,K,2002,w,weiss/braun
80849,61-70,m,11,119,Labrador Retriever,NA,Border Collie,NA,I,2002,w,schwarz/weiss
81096,81-90,w,7,71,Dackel,NA,NA,NA,K,2002,m,rot
81200,81-90,m,10,101,Toypudel,NA,NA,NA,K,2002,w,schwarz
81343,31-40,w,11,111,Papillon,NA,NA,NA,K,2002,w,schwarz/braun/weiss
81407,71-80,m,6,63,Spinone,NA,NA,NA,I,2002,w,weiss
81458,71-80,w,6,63,Border Terrier,NA,NA,NA,K,2002,w,red grizzle
81621,61-70,w,2,21,West Highland White Terrier,NA,NA,NA,K,2002,w,weiss
81775,71-80,w,11,119,Zwergpudel,NA,NA,NA,K,2002,m,apricot
81870,61-70,w,7,74,Mischling klein,NA,NA,NA,K,2002,w,schwarz/weiss
82063,71-80,w,11,111,Mops,NA,NA,NA,K,2002,m,beige
82323,61-70,w,9,91,Jack Russel Terrier,NA,NA,NA,K,2002,m,braun/weiss
82360,51-60,m,11,111,Rehpinscher,NA,NA,NA,K,2002,w,braun
82572,71-80,w,7,74,Rauhaar Dackel,NA,NA,NA,K,2002,m,saufarben
82692,81-90,w,7,74,Pudel,NA,NA,NA,K,2002,w,schwarz
82928,51-60,w,5,51,Pudel,NA,NA,NA,K,2002,m,weiss
83073,81-90,w,12,122,West Highland White Terrier,NA,NA,NA,K,2002,w,weiss
83347,71-80,w,3,34,Yorkshire Terrier,NA,NA,NA,K,2002,w,grau/schwarz
83539,51-60,w,7,71,Papillon,NA,NA,NA,K,2002,w,braun/weiss
83633,51-60,w,9,91,Mischling klein,NA,NA,NA,K,2002,m,weiss/beige
83757,51-60,w,3,31,Lhasa Apso,Mischling,NA,NA,K,2002,m,beige
83905,51-60,m,6,61,Schäfer,Mischling,NA,NA,I,2002,w,schwarz
84012,61-70,w,7,74,Mischling klein,NA,NA,NA,K,2002,w,beige/weiss
84066,81-90,w,3,33,Papillon,Mischling,NA,NA,K,2002,m,schwarz/weiss
84224,51-60,w,12,122,Jack Russel Terrier,NA,NA,NA,K,2002,w,tricolor
84811,61-70,m,2,21,Schäfer,Mischling,NA,NA,I,2002,m,schwarz/braun
85073,51-60,w,12,123,Jack Russel Terrier,NA,NA,NA,K,2002,m,tricolor
85073,51-60,w,12,123,Jack Russel Terrier,NA,NA,NA,K,2002,m,tricolor
85348,71-80,w,3,31,Mischling klein,NA,NA,NA,K,2002,m,hellbraun
85372,71-80,w,8,81,Cairn Terrier,NA,NA,NA,K,2002,m,grau/schwarz
86063,61-70,w,5,51,Schäfer,NA,Appenzeller,NA,I,2002,w,schwarz/braun
86110,51-60,m,7,73,Cairn Terrier,NA,NA,NA,K,2002,m,braun
86121,51-60,w,4,44,Malteser,NA,NA,NA,K,2002,m,weiss
86556,41-50,w,12,122,Golden Retriever,NA,NA,NA,I,2002,m,golden
