owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color
5348,61-70,m,7,74,Magyar Viszla,NA,NA,NA,I,2005,w,gelb
6314,61-70,m,10,101,Jack Russel Terrier,NA,NA,NA,K,2005,w,tricolor
6594,51-60,m,7,72,Staffordshire Bull Terrier,NA,NA,NA,II,2005,w,mahagoni/weiss
12349,61-70,m,4,41,English Springer Spaniel,NA,NA,NA,I,2005,m,braun/weiss
13193,51-60,m,11,111,Langhaardackel,NA,NA,NA,K,2005,w,hellbraun
21865,61-70,m,6,61,Foxterrier,NA,NA,NA,K,2005,m,tricolor
60397,51-60,m,7,74,Deutscher Schäfer,NA,NA,NA,I,2005,w,grau/schwarz
65713,61-70,w,2,21,Lagotto Romagnolo,NA,NA,NA,I,2005,w,braun
80127,41-50,w,10,101,American Bulldog,NA,NA,NA,I,2005,w,weiss
80168,61-70,m,11,119,Labrador Retriever,NA,NA,NA,I,2005,m,beige
80205,41-50,m,5,51,Beauceron,NA,NA,NA,I,2005,m,black/tan
80306,61-70,m,9,91,Border Terrier,NA,NA,NA,K,2005,m,grau/braun
80351,81-90,w,3,33,Bearded Collie,NA,NA,NA,I,2005,w,braun/weiss
80404,61-70,m,7,72,Rottweiler,NA,NA,NA,I,2005,w,schwarz
80516,51-60,m,3,33,Malteser,Mischling,NA,NA,K,2005,w,weiss/braun
80530,81-90,w,2,21,Pudel,NA,NA,NA,K,2005,w,schwarz
80618,71-80,w,8,83,Irish Terrier,NA,NA,NA,I,2005,w,rot
80631,71-80,w,11,115,Tervueren,NA,NA,NA,I,2005,w,braun/schwarz
80719,61-70,w,11,111,Parson Terrier,Mischling,NA,NA,K,2005,m,beige
80734,71-80,w,2,24,Basset Griffon vendéen,NA,NA,NA,I,2005,w,zobel/weiss
80884,71-80,w,7,74,Cocker Spaniel,NA,NA,NA,K,2005,w,weiss/orange
80885,81-90,m,7,72,West Highland White Terrier,NA,NA,NA,K,2005,w,weiss
81018,81-90,w,10,101,Tervueren,NA,NA,NA,I,2005,w,braun
81050,61-70,w,5,52,Labrador Retriever,NA,NA,NA,I,2005,m,schwarz
81274,91-100,m,9,92,Labrador Retriever,Mischling,NA,NA,I,2005,w,schwarz
81346,61-70,w,7,71,Terrier,Mischling,NA,NA,K,2005,w,tricolor
81380,81-90,m,12,121,Pudel,NA,NA,NA,K,2005,w,silber
81437,71-80,w,7,74,Mischling klein,NA,NA,NA,K,2005,w,schwarz/braun
81648,41-50,w,10,101,Chihuahua,NA,NA,NA,K,2005,m,schwarz/weiss
81733,61-70,m,11,115,Jack Russel Terrier,Mischling,NA,NA,K,2005,m,tricolor
81878,71-80,w,7,73,Zwergrauhaardackel,NA,NA,NA,K,2005,w,schwarz/braun
82053,61-70,w,11,111,Rauhaar Dackel,NA,NA,NA,K,2005,m,schwarz/braun
82063,71-80,w,11,111,Mops,NA,NA,NA,K,2005,w,beige
82091,41-50,m,7,72,Irish Terrier,NA,NA,NA,I,2005,w,rot
82190,61-70,w,10,101,Mischling klein,NA,NA,NA,K,2005,m,weiss/braun
82193,71-80,w,7,73,Mischling klein,NA,NA,NA,K,2005,w,beige
82398,51-60,w,11,111,Bergamasker,NA,Maremmano,NA,I,2005,w,braun
82450,71-80,w,7,74,Mischling klein,NA,NA,NA,K,2005,w,braun/weiss
82452,61-70,w,10,102,Dachshund,NA,NA,NA,K,2005,w,rot
82452,61-70,w,10,102,Dachshund,NA,NA,NA,K,2005,w,schwarz/rot
82478,61-70,m,9,92,Schäfer,NA,NA,NA,I,2005,m,weiss
82506,51-60,w,4,44,Yorkshire Terrier,NA,NA,NA,K,2005,m,tricolor
