owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color
893,61-70,w,7,71,Mittelschnauzer,NA,NA,NA,I,2010,w,schwarz
4004,61-70,w,3,34,Dackel,NA,NA,NA,K,2010,m,braun
5113,61-70,m,11,119,Beagle,NA,NA,NA,K,2010,w,tricolor
6629,51-60,w,4,41,Chihuahua,NA,NA,NA,K,2010,w,beige
6629,51-60,w,4,41,Chihuahua,NA,NA,NA,K,2010,m,black/tan
15456,41-50,m,2,21,Chihuahua,NA,NA,NA,K,2010,m,schwarz
18360,41-50,w,3,31,Husky,NA,NA,NA,I,2010,w,weiss
22378,51-60,m,7,72,Kooiker,NA,NA,NA,K,2010,w,weiss/orange
61323,71-80,m,8,81,Mudi,NA,NA,NA,I,2010,m,blondfarben
65940,41-50,w,8,81,Berner Sennenhund,NA,NA,NA,I,2010,w,tricolor
66298,41-50,m,6,63,Magyar Viszla,NA,NA,NA,I,2010,m,gelb
66898,41-50,m,7,73,Coton de Tulear,NA,NA,NA,K,2010,m,weiss
67135,31-40,m,6,61,Jack Russel Terrier,NA,NA,NA,K,2010,w,tricolor
67220,61-70,m,6,61,Mischling klein,NA,NA,NA,K,2010,m,braun
70296,51-60,w,7,74,Mischling klein,NA,NA,NA,K,2010,w,weiss/beige
71119,51-60,w,11,115,Chihuahua,NA,Prager Rattler,NA,K,2010,m,black/tan
71119,51-60,w,11,115,Prager Rattler,NA,Chihuahua,NA,K,2010,w,black/tan
71761,41-50,m,9,92,Jack Russel Terrier,NA,NA,NA,K,2010,m,tricolor
80023,71-80,m,11,111,Border Collie,NA,NA,NA,I,2010,m,tricolor
80185,41-50,m,10,102,Labrador Retriever,NA,NA,NA,I,2010,w,blondfarben
80226,71-80,w,6,61,Labrador Retriever,NA,NA,NA,I,2010,m,braun
80319,41-50,w,10,102,Dackel,Mischling,NA,NA,K,2010,w,tricolor
80500,51-60,m,11,111,Boxer,NA,NA,NA,I,2010,w,goldbraun
80545,51-60,m,9,91,Border Terrier,NA,NA,NA,K,2010,w,red grizzle
80645,81-90,w,2,21,Berner Sennenhund,NA,NA,NA,I,2010,w,schwarz/braun/weiss
80647,61-70,m,11,111,Golden Retriever,NA,NA,NA,I,2010,m,blondfarben
80698,41-50,w,11,119,Toypudel,NA,NA,NA,K,2010,m,weiss
80735,51-60,w,12,122,Golden Retriever,NA,NA,NA,I,2010,w,blondfarben
80916,41-50,w,9,92,Groenendael,NA,NA,NA,I,2010,w,schwarz
80982,61-70,w,10,101,Dachshund,NA,NA,NA,K,2010,m,schwarz gestromt
81132,31-40,m,7,73,Mischling klein,NA,NA,NA,K,2010,w,schwarz/braun
81224,51-60,m,10,101,Miniature Bull Terrier,NA,NA,NA,K,2010,m,rot/weiss
81293,81-90,w,10,101,Cocker Spaniel,NA,NA,NA,K,2010,w,braun/weiss
81336,51-60,w,6,63,Malteser,NA,NA,NA,K,2010,w,weiss
81377,41-50,m,6,63,Bearded Collie,NA,NA,NA,I,2010,w,braun/weiss
81518,71-80,m,2,23,Parson Terrier,NA,NA,NA,K,2010,m,tricolor
81619,51-60,w,8,83,Berger Picard,NA,NA,NA,I,2010,w,fauve
81677,51-60,w,10,101,Mischling klein,NA,NA,NA,K,2010,w,schwarz
81680,71-80,w,10,102,Mischling klein,NA,NA,NA,K,2010,m,braun
81696,41-50,m,4,4,Deutscher Pinscher,NA,NA,NA,I,2010,m,schwarz/rot
81717,71-80,m,12,122,Pekingese,NA,NA,NA,K,2010,w,weiss/braun
81726,61-70,w,11,111,Terrier,NA,NA,NA,K,2010,w,braun
81849,51-60,w,11,119,Chihuahua,NA,NA,NA,K,2010,m,wildfarbig
81872,61-70,w,10,102,Miniature Australien Shepard,NA,NA,NA,K,2010,m,tricolor
81885,71-80,w,7,74,Labrador Retriever,NA,NA,NA,I,2010,m,schwarz
82001,71-80,m,2,21,Rauhaar Dackel,NA,NA,NA,K,2010,m,saufarben
82068,71-80,w,9,92,Pudel,NA,NA,NA,K,2010,w,schwarz/weiss
82081,61-70,m,2,23,Podenco,NA,NA,NA,I,2010,w,schwarz/weiss
82128,31-40,m,9,92,Chihuahua,NA,NA,NA,K,2010,m,zimt
82142,91-100,w,3,34,Pudel,NA,NA,NA,K,2010,m,apricot
82151,71-80,w,9,92,Collie,NA,NA,NA,I,2010,w,tricolor
82271,51-60,w,10,101,Border Collie,NA,NA,NA,I,2010,w,schwarz/weiss
82313,71-80,w,10,101,Parson Jack Russell Terrier,NA,NA,NA,K,2010,w,tricolor
82334,61-70,m,11,115,Entlebucher Sennenhund,NA,NA,NA,I,2010,m,tricolor
82444,61-70,w,3,33,Schäfer,Mischling,NA,NA,I,2010,m,rotbraun/weiss
