owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color
20510,41-50,m,9,91,Berger blanc Suisse,NA,NA,NA,I,2006,m,weiss
65975,61-70,w,7,74,Labrador Retriever,NA,NA,NA,I,2006,m,schwarz
66144,51-60,m,5,51,Labrador Retriever,NA,NA,NA,I,2006,m,braun
66266,61-70,m,9,91,Mischling klein,NA,NA,NA,K,2006,w,tricolor
70287,51-60,m,2,24,Hirtenhund,NA,NA,NA,I,2006,m,weiss/grau
80007,71-80,m,11,111,Labrador Retriever,NA,NA,NA,I,2006,m,blondfarben
80017,61-70,m,6,61,Labrador Retriever,NA,NA,NA,I,2006,w,schwarz
80056,81-90,m,7,74,Labrador Retriever,NA,NA,NA,I,2006,w,schwarz
80097,61-70,m,6,61,Jack Russel Terrier,NA,NA,NA,K,2006,m,schwarz/weiss
80230,61-70,w,9,92,Yorkshire Terrier,NA,NA,NA,K,2006,m,braun/weiss
80230,61-70,w,9,92,Yorkshire Terrier,Mischling,NA,NA,K,2006,w,schwarz/braun
80267,41-50,m,12,122,Mischling klein,NA,NA,NA,K,2006,m,braun
80319,41-50,w,10,102,Mischling klein,NA,NA,NA,K,2006,m,braun/schwarz
80418,41-50,w,8,81,Labrador Retriever,NA,NA,NA,I,2006,m,schwarz
80434,61-70,w,7,71,Pudel,Mischling,NA,NA,K,2006,m,schwarz
80438,71-80,m,7,71,Deutscher Wachtel,NA,NA,NA,I,2006,w,rotbraun schimmel
80491,71-80,w,6,63,Chihuahua,NA,NA,NA,K,2006,w,braun
80493,81-90,w,11,119,Shih Tzu,NA,NA,NA,K,2006,m,weiss/schwarz
80545,51-60,m,9,91,Border Terrier,NA,NA,NA,K,2006,w,schwarz/braun
80847,71-80,m,9,91,Beagle,NA,NA,NA,K,2006,w,tricolor
80881,71-80,w,7,72,Mops,NA,NA,NA,K,2006,m,beige
80915,71-80,w,3,34,Golden Retriever,NA,NA,NA,I,2006,w,blondfarben
81004,61-70,w,9,92,Scottish Terrier,NA,NA,NA,K,2006,m,brindle
81184,61-70,w,9,92,Italienisches Windspiel,NA,NA,NA,K,2006,w,schwarz
81309,71-80,w,10,102,Yorkshire Terrier,Mischling,NA,NA,K,2006,w,schwarz/braun
81348,71-80,w,7,71,Golden Retriever,NA,NA,NA,I,2006,w,golden
81377,41-50,m,6,63,Bearded Collie,NA,NA,NA,I,2006,m,grau/weiss
81407,71-80,m,6,63,Border Collie,NA,NA,NA,I,2006,w,schwarz
81466,71-80,w,3,34,Yorkshire Terrier,NA,NA,NA,K,2006,w,blue/tan
81590,81-90,w,2,21,Cocker Spaniel,NA,NA,NA,K,2006,w,blauschimmel
81722,61-70,w,6,61,Beagle,NA,NA,NA,K,2006,m,tricolor
81782,51-60,w,11,115,Mittelpudel,NA,NA,NA,K,2006,w,schwarz/weiss
82010,71-80,w,7,73,English Springer Spaniel,NA,NA,NA,I,2006,m,weiss/braun
82099,71-80,w,3,31,Tervueren,NA,NA,NA,I,2006,w,grau/schwarz
82136,61-70,m,8,81,Collie,NA,NA,NA,I,2006,w,sable
82180,61-70,w,7,73,Rauhaar Dackel,NA,NA,NA,K,2006,w,rot/braun
82312,51-60,w,10,101,Labrador Retriever,NA,NA,NA,I,2006,w,gelb
82414,51-60,w,11,119,Border Collie,NA,Schäfer,NA,I,2006,w,schwarz/weiss
82419,51-60,w,7,72,Cairn Terrier,NA,NA,NA,K,2006,w,braun/schwarz
82452,61-70,w,10,102,Dachshund,NA,NA,NA,K,2006,w,schwarz/rot
82452,61-70,w,10,102,Dachshund,NA,NA,NA,K,2006,w,rot/braun
82498,61-70,w,7,74,Border Collie,NA,NA,NA,I,2006,w,grau/weiss/schwarz
82623,81-90,w,8,83,Cocker Spaniel,NA,NA,NA,K,2006,w,schwarz
82653,71-80,m,5,52,Jack Russel Terrier,NA,NA,NA,K,2006,m,braun/weiss
82734,61-70,w,7,74,Dachshund,NA,NA,NA,K,2006,w,saufarben
82751,71-80,m,8,83,Leonberger,NA,NA,NA,I,2006,w,löwenfarbig
82852,61-70,w,9,92,Chinese Crested Powderpuff,NA,NA,NA,K,2006,w,schwarz/weiss
82897,61-70,w,4,44,Collie,Mischling,NA,NA,I,2006,m,beige/weiss
82981,71-80,m,12,123,Flat Coated Retriever,NA,NA,NA,I,2006,w,schwarz
83133,71-80,m,2,24,Berner Sennenhund,NA,NA,NA,I,2006,w,tricolor
83167,51-60,w,5,52,Mischling klein,NA,NA,NA,K,2006,m,schwarz schimmel
83171,51-60,w,7,73,Airedale Terrier,NA,NA,NA,I,2006,m,black/tan
