owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color
4215,41-50,w,8,81,Bergamasker,Mischling,NA,NA,I,2004,w,schwarz
6600,51-60,m,6,63,Mischling klein,NA,NA,NA,K,2004,m,braun
14362,61-70,m,7,72,Zwergdachshund,NA,NA,NA,K,2004,w,saufarben
40684,71-80,m,7,74,Labrador Retriever,NA,NA,NA,I,2004,m,blondfarben
60402,61-70,w,11,111,Border Terrier,NA,NA,NA,K,2004,m,rot/grau/schwarz
62621,71-80,m,11,111,Papillon,NA,NA,NA,K,2004,w,schwarz/weiss
64718,51-60,m,11,115,Mischling klein,NA,NA,NA,K,2004,w,weiss/braun
66913,51-60,m,8,83,Hovawart,NA,NA,NA,I,2004,w,blondfarben
67180,51-60,w,1,11,English Cocker Spaniel,NA,NA,NA,K,2004,w,blauschimmel
80011,41-50,w,12,123,Malteser,Mischling,NA,NA,K,2004,m,weiss
80017,61-70,m,6,61,Spanischer Wasserhund,NA,NA,NA,I,2004,w,braun/weiss
80096,51-60,w,11,111,Malteser,NA,NA,NA,K,2004,m,weiss
80330,71-80,w,12,123,Husky,NA,Appenzeller,NA,I,2004,w,braun/weiss
80552,51-60,w,10,101,Windspiel,NA,NA,NA,I,2004,w,beige/weiss
80604,71-80,m,7,72,Labrador Retriever,NA,NA,NA,I,2004,w,schwarz
80607,81-90,w,10,101,West Highland White Terrier,NA,NA,NA,K,2004,w,weiss
80608,81-90,w,2,24,Deutscher Schäfer,NA,NA,NA,I,2004,w,schwarz/gelb
80719,61-70,w,11,111,Jack Russel Terrier,NA,NA,NA,K,2004,m,weiss/schwarz/braun
80890,61-70,m,7,73,Pinscher,Mischling,NA,NA,K,2004,w,tricolor
81054,51-60,w,1,11,Labrador Retriever,NA,Golden Retriever,NA,I,2004,m,gold/sable
81091,61-70,w,7,71,Labrador Retriever,NA,NA,NA,I,2004,m,braun
81195,61-70,w,10,102,Beagle,NA,NA,NA,K,2004,m,tricolor
81202,81-90,m,9,91,Toypudel,NA,NA,NA,K,2004,w,silber
81254,51-60,w,9,92,Tibet Terrier,NA,NA,NA,K,2004,m,weiss/schwarz
81397,51-60,w,8,83,Bobtail,NA,Bergamasker,NA,I,2004,w,grau
81441,71-80,w,8,81,Mischling klein,NA,NA,NA,K,2004,m,weiss
81468,71-80,w,5,51,Yorkshire Terrier,NA,West Highland White Terrier,NA,K,2004,m,schwarz/braun/weiss
81482,71-80,m,12,122,Katalanischer Hirtenhund,NA,NA,NA,I,2004,w,braun schwarz gestromt
81507,61-70,w,6,63,Mittelpudel,NA,NA,NA,K,2004,m,schwarz
81531,71-80,w,3,34,Mischling klein,NA,NA,NA,K,2004,w,rot/schwarz
81557,71-80,w,2,24,Labrador Retriever,Mischling,NA,NA,I,2004,w,schwarz
81674,81-90,w,10,101,Pekingese,Mischling,NA,NA,K,2004,m,schwarz/braun
81764,81-90,w,12,122,Coton de Tulear,NA,NA,NA,K,2004,m,weiss
82011,71-80,m,7,74,Bergamasker,NA,NA,NA,I,2004,w,grau meliert
82284,81-90,w,2,24,Zwergpudel,NA,NA,NA,K,2004,m,braun/weiss
82369,61-70,m,2,24,Mischling klein,NA,NA,NA,K,2004,w,schwarz/braun
82435,71-80,w,7,73,Jack Russel Terrier,NA,NA,NA,K,2004,w,weiss/beige
82439,81-90,m,7,74,Mischling gross,NA,NA,NA,I,2004,m,braun
82474,71-80,w,3,31,Kromfohrländer,NA,NA,NA,I,2004,w,weiss/braun
82538,61-70,w,7,71,Dachshund,NA,NA,NA,K,2004,m,braun
82567,61-70,w,7,71,Papillon,NA,NA,NA,K,2004,m,weiss/braun
