owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color
4215,41-50,w,8,81,Border Collie,Mischling,NA,NA,I,2001,m,schwarz
22479,51-60,m,7,72,Mischling klein,NA,NA,NA,K,2001,w,grau gestromt
67125,51-60,m,7,74,Golden Retriever,NA,NA,NA,I,2001,m,golden
80011,41-50,w,12,123,Papillon,Mischling,NA,NA,K,2001,w,schwarz
80317,81-90,w,7,74,Windspiel,NA,NA,NA,I,2001,w,blue
80758,81-90,w,2,24,Labrador Retriever,NA,NA,NA,I,2001,w,schwarz
80986,71-80,w,11,111,Border Collie,Mischling,NA,NA,I,2001,w,schwarz/braun/weiss
81234,81-90,m,9,92,Terrier,Mischling,NA,NA,K,2001,m,schwarz/weiss
81781,61-70,w,12,122,Mischling klein,NA,NA,NA,K,2001,w,weiss
81856,31-40,m,11,119,Labrador Retriever,Mischling,NA,NA,I,2001,m,beige/weiss
82127,61-70,m,7,72,Jack Russel Terrier,NA,NA,NA,K,2001,m,tricolor
82192,71-80,w,11,111,Phalène,NA,NA,NA,K,2001,m,braun/weiss
82240,71-80,w,10,101,Rauhaar Dackel,NA,NA,NA,K,2001,m,saufarben
83454,71-80,w,3,31,Mischling klein,NA,NA,NA,K,2001,w,braun
83638,41-50,w,11,111,Toyterrier,NA,NA,NA,K,2001,w,braun/beige
83874,51-60,w,10,102,Bergamasker,NA,Collie,NA,I,2001,w,grau
84540,81-90,w,6,63,Papillon,NA,NA,NA,K,2001,m,weiss/braun
84834,81-90,w,11,111,Border Collie,Mischling,NA,NA,I,2001,w,schwarz/weiss
85240,61-70,m,11,119,Berner Sennenhund,Mischling,NA,NA,I,2001,w,braun/weiss
85353,81-90,m,6,63,Papillon,NA,NA,NA,K,2001,w,tricolor
85812,61-70,m,10,101,Zwergpudel,NA,NA,NA,K,2001,m,schwarz
85923,51-60,w,6,63,Jack Russel Terrier,NA,NA,NA,K,2001,m,tricolor
86060,71-80,m,3,33,Mischling klein,NA,NA,NA,K,2001,w,schwarz/braun
86088,41-50,w,4,44,Bergamasker,Mischling,NA,NA,I,2001,m,grau/schwarz
86124,71-80,m,4,41,Dackel,NA,NA,NA,K,2001,m,rot
86133,51-60,w,10,101,Bergamasker,NA,Appenzeller,NA,I,2001,m,blue merle/weiss
86140,61-70,w,2,23,Cairn Terrier,NA,NA,NA,K,2001,w,beige
86167,41-50,w,10,101,Cocker Spaniel,Mischling,NA,NA,K,2001,w,schwarz
86181,51-60,w,10,101,Labrador Retriever,NA,NA,NA,I,2001,w,gelb
86201,41-50,w,3,31,Parson Jack Russell Terrier,NA,NA,NA,K,2001,w,weiss/braun
86207,41-50,w,3,33,Yorkshire Terrier,NA,NA,NA,K,2001,m,blue/tan
86238,51-60,w,3,33,Toypudel,NA,NA,NA,K,2001,m,schwarz/braun
86263,51-60,w,9,92,Mischling klein,NA,NA,NA,K,2001,m,tricolor
86289,51-60,w,11,119,Pekingese,NA,NA,NA,K,2001,m,braun/weiss
86309,61-70,m,9,91,Vizsla,NA,NA,NA,I,2001,w,gelb
86374,61-70,w,10,102,Norwich Terrier,NA,NA,NA,K,2001,w,rot
86391,41-50,w,3,33,Mischling klein,NA,NA,NA,K,2001,w,schwarz/weiss
86447,61-70,w,10,101,Irish Terrier,NA,NA,NA,I,2001,w,rot
86506,61-70,w,6,61,Yorkshire Terrier,NA,NA,NA,K,2001,w,blue/tan
